Chrom,Start,End,CenName,Type,Class,Size
chr1,127758832,127760085,hsat5_1_1(HSAT5),hsat5,OtherSat,1253
chr1,127760085,127766517,ct_1_8,ct,NonSat,6432
chr1,127766517,127772418,censat_1_6(ACRO_Composite),censat,OtherSat,5901
chr1,127772418,127775625,gsat_1_1(GSATII),gsat,OtherSat,3207
chr1,127775625,127800809,ct_1_9,ct,NonSat,25184
chr1,127800809,127804664,censat_1_7(SATR1),censat,OtherSat,3855
chr1,127804664,127807588,ct_1_10,ct,NonSat,2924
chr1,127807588,127809727,censat_1_8(SATR1),censat,OtherSat,2139
chr1,127809727,127862755,ct_1_11,ct,NonSat,53028
chr1,127862755,127864134,hsat5_1_2(HSat5),hsat5,OtherSat,1379
chr1,127864134,127881255,ct_1_12,ct,NonSat,17121
chr1,127881255,127883385,hsat5_1_3(HSat5),hsat5,OtherSat,2130
chr1,127883385,127895876,ct_1_13,ct,NonSat,12491
chr1,127895876,127897129,hsat5_1_4(HSat5),hsat5,OtherSat,1253
chr1,127897129,127898505,censat_1_9(CER),censat,OtherSat,1376
chr1,127898505,128009850,ct_1_14,ct,NonSat,111345
chr1,128009850,128098615,"hsat3_1_2(B3,A4)",hsat3,HSat3,88765
chr1,128098615,128594818,bsat_1_1(LSAU-BSAT_Composite),bsat,βSat,496203
chr1,128594818,128734874,"hsat3_1_3(A4,A2)",hsat3,HSat3,140056
chr1,128734874,128783775,"hsat2_1_4(B,A1,A2)",hsat2,HSat2,48901
chr1,128783775,128800795,ct_1_15,ct,NonSat,17020
chr1,128800795,128803475,censat_1_10(rnd-6_family-4384),censat,OtherSat,2680
chr1,128803475,128837036,ct_1_16,ct,NonSat,33561
chr1,128837036,128837233,censat_1_11(rnd-6_family-4384),censat,OtherSat,197
chr1,128837233,128876917,ct_1_17,ct,NonSat,39684
chr1,128876917,128901447,hsat2_1_5(B),hsat2,HSat2,24530
chr1,128901447,128920455,ct_1_18,ct,NonSat,19008
chr1,128920455,128923144,censat_1_12(rnd-6_family-4384),censat,OtherSat,2689
chr1,128923144,128947979,ct_1_19,ct,NonSat,24835
chr1,128947979,128950883,censat_1_13(rnd-6_family-4384),censat,OtherSat,2904
chr1,128950883,128984411,ct_1_20,ct,NonSat,33528
chr1,128984411,128987091,censat_1_14(rnd-6_family-4384),censat,OtherSat,2680
chr1,128987091,129004109,ct_1_21,ct,NonSat,17018
chr1,129004109,142242033,"hsat2_1_6(A2,A1,B)",hsat2,HSat2,13237924
chr1,142242033,142280930,ct_1_22,ct,NonSat,38897
chr1,142280930,142286351,censat_1_15(rnd-6_family-4384),censat,OtherSat,5421
chr1,142286351,142307777,ct_1_23,ct,NonSat,21426
chr1,142307777,142310837,censat_1_16(rnd-6_family-4384),censat,OtherSat,3060
chr1,142310837,142569057,ct_1_24,ct,NonSat,258220
chr1,142569057,142570746,censat_1_17(rnd-6_family-4384),censat,OtherSat,1689
chr1,142570746,142610609,ct_1_25,ct,NonSat,39863
chr1,142610609,142613454,hsat2_1_7(B),hsat2,HSat2,2845
chr1,142613454,143148263,ct_1_26,ct,NonSat,534809
chr1,143148263,143150141,censat_1_18(rnd-6_family-4384),censat,OtherSat,1878
chr1,143150141,143423529,ct_1_27,ct,NonSat,273388
chr1,143423529,143424993,censat_1_19(rnd-6_family-4384),censat,OtherSat,1464
chr1,143424993,143742419,ct_1_28,ct,NonSat,317426
chr1,143742419,143743494,censat_1_20(rnd-6_family-4384),censat,OtherSat,1075
chr1,143743494,144007117,ct_1_29,ct,NonSat,263623
chr1,144007117,144008994,censat_1_21(rnd-6_family-4384),censat,OtherSat,1877
chr10,38527422,38641012,hsat3_10_1(A1),hsat3,HSat3,113590
chr10,38641012,38654452,hsat2_10_1(B),hsat2,HSat2,13440
chr10,38654452,38658855,ct_10_2,ct,NonSat,4403
chr10,38658855,38659959,censat_10_1(rnd-6_family-4384),censat,OtherSat,1104
chr10,38659959,38797521,ct_10_3,ct,NonSat,137562
chr10,38797521,38806963,"censat_10_2(TGGCCCn,ATGAAn)",censat,OtherSat,9442
chr10,38806963,38843946,ct_10_4,ct,NonSat,36983
chr10,38843946,38989004,hsat3_10_2(A2),hsat3,HSat3,145058
chr10,38989004,39010294,ct_10_5,ct,NonSat,21290
chr10,39010294,39011571,censat_10_3(rnd-6_family-4384),censat,OtherSat,1277
chr10,39011571,39037052,ct_10_6,ct,NonSat,25481
chr10,39037052,39038528,censat_10_4(rnd-6_family-4384),censat,OtherSat,1476
chr10,39038528,39068402,ct_10_7,ct,NonSat,29874
chr10,39068402,39617055,mon_10_1,mon,αSat-Other,548653
chr10,39617055,39624973,dhor_10_1(S01CMH1d),dhor,αSat-Other,7918
chr10,39624973,39633793,dhor_10_2(SF1),dhor,αSat-Other,8820
chr10,39633793,41664589,hor_10_1(S1C10H1L),hor,αSat-Active,2030796
chr10,41664589,41779242,hor_10_2(S1C10H1-B),hor,αSat-Inactive,114653
chr10,41779242,41881070,hor_10_3(S1C10H1-C),hor,αSat-Inactive,101828
chr10,41881070,41926237,hor_10_4(S1C10H2),hor,αSat-Inactive,45167
chr10,41926237,41933458,dhor_10_3(SF1),dhor,αSat-Other,7221
chr10,41933458,41935290,ct_10_8,ct,NonSat,1832
chr10,41935290,42049585,mon_10_2,mon,αSat-Other,114295
chr10,42049585,42061843,dhor_10_4(SF1),dhor,αSat-Other,12258
chr10,42061843,42062303,ct_10_9,ct,NonSat,460
chr10,42062303,42076392,"hsat2_10_2(A1,A2)",hsat2,HSat2,14089
chr10,42076392,42377074,hsat3_10_3(B3),hsat3,HSat3,300682
chr10,42377074,42525470,"hsat3_10_4(B3,A2)",hsat3,HSat3,148396
chr10,42525470,42547087,bsat_10_1(LSAU-BSAT_Composite),bsat,βSat,21617
chr10,42547087,42982864,"hsat2_10_3(A1,A2)",hsat2,HSat2,435777
chr10,42982864,42987255,ct_10_10,ct,NonSat,4391
chr10,42987255,42990929,censat_10_5(rnd-6_family-4384),censat,OtherSat,3674
chr10,42990929,43025928,ct_10_11,ct,NonSat,34999
chr10,43025928,43028494,censat_10_6(rnd-6_family-4384),censat,OtherSat,2566
chr10,43028494,43042055,ct_10_12,ct,NonSat,13561
chr10,43042055,43048390,hsat2_10_4(B),hsat2,HSat2,6335
chr10,43048390,43053137,ct_10_13,ct,NonSat,4747
chr10,43053137,43055549,censat_10_7(rnd-6_family-4384),censat,OtherSat,2412
chr10,43055549,43103506,ct_10_14,ct,NonSat,47957
chr10,43103506,43106378,censat_10_8(CATCTn),censat,OtherSat,2872
chr10,43106378,43172682,ct_10_15,ct,NonSat,66304
chr10,43172682,43199266,hsat3_10_5(A1),hsat3,HSat3,26584
chr10,43199266,43200504,dhor_10_5(SF1),dhor,αSat-Other,1238
chr10,43200504,43442772,ct_10_16,ct,NonSat,242268
chr10,43442772,43443011,hsat1_10_1(HSat1B),hsat1,HSat1,239
chr11,48819609,49118925,mon_11_1,mon,αSat-Other,299316
chr11,49118925,50290423,ct_11_2,ct,NonSat,1171498
chr11,50290423,50295963,mon_11_2,mon,αSat-Other,5540
chr11,50295963,50477709,ct_11_3,ct,NonSat,181746
chr11,50477709,50480166,censat_11_1(ATATATTn),censat,OtherSat,2457
chr11,50480166,50537299,ct_11_4,ct,NonSat,57133
chr11,50537299,51019951,mon_11_3,mon,αSat-Other,482652
chr11,51019951,51021486,dhor_11_1(SF3),dhor,αSat-Other,1535
chr11,51021486,51023358,dhor_11_2(S3C11H3d),dhor,αSat-Other,1872
chr11,51023358,51035789,hor_11_1(S3C11H2),hor,αSat-Inactive,12431
chr11,51035789,51061948,"hor_11_2(S3C11H1L,S3C11H3d)",hor,αSat-Inactive,26159
chr11,51061948,54413484,hor_11_3(S3C11H1L),hor,αSat-Active,3351536
chr11,54413484,54443345,hor_11_4(S3C11H2),hor,αSat-Inactive,29861
chr11,54443345,54450838,dhor_11_3(SF3),dhor,αSat-Other,7493
chr11,54450838,54476419,hor_11_5(S3C11H2),hor,αSat-Inactive,25581
chr11,54476419,54481671,dhor_11_4(SF3),dhor,αSat-Other,5252
chr11,54481671,54487965,dhor_11_5(S3C11H3d),dhor,αSat-Other,6294
chr11,54487965,54681429,ct_11_5,ct,NonSat,193464
chr11,54681429,55197726,mon_11_4,mon,αSat-Other,516297
chr11,55197726,55212211,ct_11_6,ct,NonSat,14485
chr11,55212211,55216869,censat_11_2(SATR),censat,OtherSat,4658
chr12,30997656,31000798,censat_12_1(SATR),censat,OtherSat,3142
chr12,31000798,34085570,ct_12_2,ct,NonSat,3084772
chr12,34085570,34085868,censat_12_2(LSAU),censat,OtherSat,298
chr12,34085868,34087287,ct_12_3,ct,NonSat,1419
chr12,34087287,34087435,censat_12_3(LSAU),censat,OtherSat,148
chr12,34087435,34088798,ct_12_4,ct,NonSat,1363
chr12,34088798,34089596,gsat_12_1(GSATX),gsat,OtherSat,798
chr12,34089596,34156787,ct_12_5,ct,NonSat,67191
chr12,34156787,34163766,mon_12_1,mon,αSat-Other,6979
chr12,34163766,34284892,"gsat_12_2(GSATII,rnd-6_family-1431)",gsat,OtherSat,121126
chr12,34284892,34473230,mon_12_2,mon,αSat-Other,188338
chr12,34473230,34485622,"gsat_12_3(GSATII,rnd-6_family-1431)",gsat,OtherSat,12392
chr12,34485622,34555160,mon_12_3,mon,αSat-Other,69538
chr12,34555160,34556862,dhor_12_1(S5C1H5d),dhor,αSat-Other,1702
chr12,34556862,34579235,dhor_12_2(S01CMH1d),dhor,αSat-Other,22373
chr12,34579235,34589265,dhor_12_3(S01C12H3d),dhor,αSat-Other,10030
chr12,34589265,34593492,dhor_12_4(S1CMH3d),dhor,αSat-Other,4227
chr12,34593492,34620838,hor_12_1(S1C12H2),hor,αSat-Inactive,27346
chr12,34620838,37202490,hor_12_2(S1C12H1L),hor,αSat-Active,2581652
chr12,37202490,37221403,dhor_12_5(S1CMH3d),dhor,αSat-Other,18913
chr12,37221403,37229728,dhor_12_6(S01C12H3d),dhor,αSat-Other,8325
chr12,37229728,37369877,dhor_12_7(SF5),dhor,αSat-Other,140149
chr12,37369877,37376020,censat_12_4(SST1_Composite),censat,OtherSat,6143
chr12,37376020,37474257,ct_12_6,ct,NonSat,98237
chr12,37474257,37484266,mon_12_4,mon,αSat-Other,10009
chr12,37484266,37487829,censat_12_5(SST1_Composite),censat,OtherSat,3563
chr12,37487829,37488563,ct_12_7,ct,NonSat,734
chr12,37488563,37492437,mon_12_5,mon,αSat-Other,3874
chr12,37492437,37492727,ct_12_8,ct,NonSat,290
chr12,37492727,37500838,censat_12_6(SST1_Composite),censat,OtherSat,8111
chr12,37500838,37548352,ct_12_9,ct,NonSat,47514
chr12,37548352,37997178,mon_12_6,mon,αSat-Other,448826
chr12,37997178,38101271,ct_12_10,ct,NonSat,104093
chr12,38101271,38110606,gsat_12_4(GSATX),gsat,OtherSat,9335
chr12,38110606,38113553,"censat_12_7(rnd-6_family-13719,20)",censat,OtherSat,2947
chr12,38113553,38541490,ct_12_11,ct,NonSat,427937
chr12,38541490,38541929,mon_12_7,mon,αSat-Other,439
chr13,0,2540,tar_13_1,tar,OtherSat,2540
chr13,2540,65257,hsat3_13_1(B4),hsat3,HSat3,62717
chr13,65257,4973153,hsat1_13_1(HSat1A),hsat1,HSat1,4907896
chr13,4973153,5000116,bsat_13_1(LSAU-BSAT_Composite),bsat,βSat,26963
chr13,5000116,5152650,hsat3_13_2(A4),hsat3,HSat3,152534
chr13,5152650,5264112,ct_13_1,ct,NonSat,111462
chr13,5264112,5265488,censat_13_1(CER),censat,OtherSat,1376
chr13,5265488,5266737,hsat5_13_1(HSat5),hsat5,OtherSat,1249
chr13,5266737,5270328,ct_13_2,ct,NonSat,3591
chr13,5270328,5271696,hsat5_13_2(HSat5),hsat5,OtherSat,1368
chr13,5271696,5325025,ct_13_3,ct,NonSat,53329
chr13,5325025,5327159,censat_13_2(SATR),censat,OtherSat,2134
chr13,5327159,5330083,ct_13_4,ct,NonSat,2924
chr13,5330083,5333927,censat_13_3(SATR),censat,OtherSat,3844
chr13,5333927,5338346,ct_13_5,ct,NonSat,4419
chr13,5338346,5358151,censat_13_4(ACRO_composite),censat,OtherSat,19805
chr13,5358151,5369400,ct_13_6,ct,NonSat,11249
chr13,5369400,5424523,censat_13_5(CER),censat,OtherSat,55123
chr13,5424523,5448211,ct_13_7,ct,NonSat,23688
chr13,5448211,5450627,gsat_13_1(GSATII),gsat,OtherSat,2416
chr13,5450627,5455783,ct_13_8,ct,NonSat,5156
chr13,5455783,5467957,bsat_13_2,bsat,βSat,12174
chr13,5467957,5638362,ct_13_9,ct,NonSat,170405
chr13,5638362,5650823,bsat_13_3,bsat,βSat,12461
chr13,5650823,5770548,ct_13_10,ct,NonSat,119725
chr13,5770548,9348041,rDNA_13_1,rDNA,rDNA,3577493
chr13,9348041,9356166,censat_13_6(ACRO_composite),censat,OtherSat,8125
chr13,9356166,9389035,ct_13_11,ct,NonSat,32869
chr13,9389035,9398072,censat_13_7(rnd-1_family-0),censat,OtherSat,9037
chr13,9398072,9405275,gsat_13_2(GSATII/TAR),gsat,OtherSat,7203
chr13,9405275,9429676,ct_13_12,ct,NonSat,24401
chr13,9429676,9433528,censat_13_8(SATR),censat,OtherSat,3852
chr13,9433528,9436457,ct_13_13,ct,NonSat,2929
chr13,9436457,9438504,censat_13_9(SATR),censat,OtherSat,2047
chr13,9438504,9594120,ct_13_14,ct,NonSat,155616
chr13,9594120,9627520,hsat3_13_3(A4),hsat3,HSat3,33400
chr13,9627520,9796372,bsat_13_4(LSAU-BSAT_Composite),bsat,βSat,168852
chr13,9796372,9802883,hsat1_13_2(HSat1A),hsat1,HSat1,6511
chr13,9802883,9891532,"hsat3_13_4(B3,A1)",hsat3,HSat3,88649
chr13,9891532,9940993,ct_13_15,ct,NonSat,49461
chr13,9940993,9956401,bsat_13_5,bsat,βSat,15408
chr13,9956401,9967744,hsat3_13_5(A4),hsat3,HSat3,11343
chr13,9967744,10154534,ct_13_16,ct,NonSat,186790
chr13,10154534,10157059,censat_13_10(GATAn),censat,OtherSat,2525
chr13,10157059,10165986,ct_13_17,ct,NonSat,8927
chr13,10165986,10219675,hsat1_13_3(HSat1B),hsat1,HSat1,53689
chr13,10219675,10407295,hsat3_13_6(B3),hsat3,HSat3,187620
chr13,10407295,10425695,ct_13_18,ct,NonSat,18400
chr13,10425695,10428614,censat_13_11(SATR),censat,OtherSat,2919
chr13,10428614,10451876,ct_13_19,ct,NonSat,23262
chr13,10451876,10455552,gsat_13_3(GSATII/TAR),gsat,OtherSat,3676
chr13,10455552,10456388,ct_13_20,ct,NonSat,836
chr13,10456388,10469104,censat_13_12(ACRO_composite),censat,OtherSat,12716
chr13,10469104,10479035,ct_13_21,ct,NonSat,9931
chr13,10479035,10480398,hsat5_13_3(HSat5),hsat5,OtherSat,1363
chr13,10480398,10497523,ct_13_22,ct,NonSat,17125
chr13,10497523,10499652,hsat5_13_4(HSat5),hsat5,OtherSat,2129
chr13,10499652,10512131,ct_13_23,ct,NonSat,12479
chr13,10512131,10513010,hsat5_13_5(HSat5),hsat5,OtherSat,879
chr13,10513010,10513356,ct_13_24,ct,NonSat,346
chr13,10513356,10627789,censat_13_13(CER),censat,OtherSat,114433
chr13,10627789,10733822,"hsat3_13_7(A4,A2)",hsat3,HSat3,106033
chr13,10733822,10738003,bsat_13_6,bsat,βSat,4181
chr13,10738003,10769666,"hsat1_13_4(HSat1A,B)",hsat1,HSat1,31663
chr13,10769666,10961021,ct_13_25,ct,NonSat,191355
chr13,10961021,10970443,hsat3_13_8(A1),hsat3,HSat3,9422
chr13,10970443,10987609,ct_13_26,ct,NonSat,17166
chr13,10987609,10989461,censat_13_14(rnd-6_family-4384),censat,OtherSat,1852
chr13,10989461,11021233,ct_13_27,ct,NonSat,31772
chr13,11021233,11023216,censat_13_15(rnd-6_family-4384),censat,OtherSat,1983
chr13,11023216,11048571,ct_13_28,ct,NonSat,25355
chr13,11048571,11049299,censat_13_16(rnd-6_family-4384),censat,OtherSat,728
chr13,11049299,11070649,ct_13_29,ct,NonSat,21350
chr13,11070649,11143577,"hsat3_13_9(A2,A4)",hsat3,HSat3,72928
chr13,11143577,11155531,mon_13_1,mon,αSat-Other,11954
chr13,11155531,11191439,hor_13_1(S4/6C13/14/21H1),hor,αSat-Inactive,35908
chr13,11191439,11334389,mon_13_2,mon,αSat-Other,142950
chr13,11334389,11370461,hsat3_13_10(A4),hsat3,HSat3,36072
chr13,11370461,11417952,mon_13_3,mon,αSat-Other,47491
chr13,11417952,11430303,hsat3_13_11(A4),hsat3,HSat3,12351
chr13,11430303,11490233,mon_13_4,mon,αSat-Other,59930
chr13,11490233,11615705,ct_13_30,ct,NonSat,125472
chr13,11615705,11617863,"bsat_13_7(LSAU-BSAT_Composite,no_beta)",bsat,βSat,2158
chr13,11617863,11621148,"censat_13_17(rnd-6_family-13719,20)",censat,OtherSat,3285
chr13,11621148,11700049,ct_13_31,ct,NonSat,78901
chr13,11700049,11701523,"censat_13_18(rnd-6_family-13719,20)",censat,OtherSat,1474
chr13,11701523,11709200,"bsat_13_8(LSAU-BSAT_Composite,no_beta)",bsat,βSat,7677
chr13,11709200,11737545,ct_13_32,ct,NonSat,28345
chr13,11737545,11812455,mon_13_5,mon,αSat-Other,74910
chr13,11812455,11831237,hor_13_2(S5C13/14/21H2),hor,αSat-Inactive,18782
chr13,11831237,11837443,mon_13_6,mon,αSat-Other,6206
chr13,11837443,11948431,"hsat3_13_12(A4,A1)",hsat3,HSat3,110988
chr13,11948431,12068771,ct_13_33,ct,NonSat,120340
chr13,12068771,12070712,censat_13_19(rnd-1_family-0),censat,OtherSat,1941
chr13,12070712,12084441,ct_13_34,ct,NonSat,13729
chr13,12084441,12085439,censat_13_20(SST1_Composite),censat,OtherSat,998
chr13,12085439,12301366,ct_13_35,ct,NonSat,215927
chr13,12301366,12440010,censat_13_21(SST1),censat,OtherSat,138644
chr13,12440010,12718342,ct_13_36,ct,NonSat,278332
chr13,12718342,12720259,censat_13_22(SST1_Composite),censat,OtherSat,1917
chr13,12720259,12725915,gsat_13_4(GSATII/TAR),gsat,OtherSat,5656
chr13,12725915,12735050,censat_13_23(rnd-1_family-0),censat,OtherSat,9135
chr13,12735050,12836659,ct_13_37,ct,NonSat,101609
chr13,12836659,12839246,"censat_13_24(rnd-6_family-13719,20)",censat,OtherSat,2587
chr13,12839246,12842110,"bsat_13_9(LSAU-BSAT_Composite,no_beta)",bsat,βSat,2864
chr13,12842110,12968162,ct_13_38,ct,NonSat,126052
chr13,12968162,13033845,mon_13_7,mon,αSat-Other,65683
chr13,13033845,13038321,hsat3_13_13(A4),hsat3,HSat3,4476
chr13,13038321,13111485,mon_13_8,mon,αSat-Other,73164
chr13,13111485,13119194,hsat3_13_14(A4),hsat3,HSat3,7709
chr13,13119194,13172020,mon_13_9,mon,αSat-Other,52826
chr13,13172020,13243683,hsat3_13_15(A4),hsat3,HSat3,71663
chr13,13243683,13322481,mon_13_10,mon,αSat-Other,78798
chr13,13322481,13410442,"hsat3_13_16(A1,A4)",hsat3,HSat3,87961
chr13,13410442,13433611,ct_13_39,ct,NonSat,23169
chr13,13433611,13434116,censat_13_25(rnd-6_family-4384),censat,OtherSat,505
chr13,13434116,13444402,ct_13_40,ct,NonSat,10286
chr13,13444402,13444624,censat_13_26(rnd-6_family-4384),censat,OtherSat,222
chr13,13444624,13694067,ct_13_41,ct,NonSat,249443
chr13,13694067,13700989,hsat1_13_5(HSat1B),hsat1,HSat1,6922
chr13,13700989,13923837,ct_13_42,ct,NonSat,222848
chr13,13923837,15547593,"hsat1_13_6(HSat1A,B)",hsat1,HSat1,1623756
chr13,15547593,17498291,hor_13_3(S2C13/21H1L),hor,αSat-Active,1950698
chr13,17498291,17508596,hor_13_4(S2C13/21H1-B),hor,αSat-Inactive,10305
chr13,17508596,17511150,dhor_13_1(SF2),dhor,αSat-Other,2554
chr13,17511150,17515884,dhor_13_2(SF02),dhor,αSat-Other,4734
chr13,17515884,17576696,mon_13_11,mon,αSat-Other,60812
chr13,17576696,17710409,ct_13_43,ct,NonSat,133713
chr13,17710409,17720072,censat_13_27(CER),censat,OtherSat,9663
chr13,17720072,17959655,ct_13_44,ct,NonSat,239583
chr13,17959655,17960517,hsat5_13_6(HSat5),hsat5,OtherSat,862
chr13,17960517,18004818,ct_13_45,ct,NonSat,44301
chr13,18004818,18005403,hsat5_13_7(HSat5),hsat5,OtherSat,585
chr13,18005403,18137682,ct_13_46,ct,NonSat,132279
chr13,18137682,18139572,gsat_13_5(GSATX),gsat,OtherSat,1890
chr13,18139572,20484601,ct_13_47,ct,NonSat,2345029
chr13,20484601,20485259,mon_13_12,mon,αSat-Other,658
chr14,0,2075,tar_14_1,tar,OtherSat,2075
chr14,2075,225617,censat_14_1(ACRO_composite),censat,OtherSat,223542
chr14,225617,230957,ct_14_1,ct,NonSat,5340
chr14,230957,234807,censat_14_2(SATR),censat,OtherSat,3850
chr14,234807,260746,ct_14_2,ct,NonSat,25939
chr14,260746,632814,censat_14_3(ULTRA_novelSat),censat,OtherSat,372068
chr14,632814,740363,ct_14_3,ct,NonSat,107549
chr14,740363,763497,hsat3_14_1(A4),hsat3,HSat3,23134
chr14,763497,965061,bsat_14_1(LSAU-BSAT_Composite),bsat,βSat,201564
chr14,965061,1246654,hsat3_14_2(B4),hsat3,HSat3,281593
chr14,1246654,1313023,hsat1_14_1(HSat1A),hsat1,HSat1,66369
chr14,1313023,1339985,bsat_14_2(LSAU-BSAT_Composite),bsat,βSat,26962
chr14,1339985,1453417,hsat3_14_3(A4),hsat3,HSat3,113432
chr14,1453417,1565957,ct_14_4,ct,NonSat,112540
chr14,1565957,1567205,hsat5_14_1(HSat5),hsat5,OtherSat,1248
chr14,1567205,1570796,ct_14_5,ct,NonSat,3591
chr14,1570796,1572164,hsat5_14_2(HSat5),hsat5,OtherSat,1368
chr14,1572164,1625478,ct_14_6,ct,NonSat,53314
chr14,1625478,1627614,censat_14_4(SATR),censat,OtherSat,2136
chr14,1627614,1630538,ct_14_7,ct,NonSat,2924
chr14,1630538,1634388,censat_14_5(SATR),censat,OtherSat,3850
chr14,1634388,1658892,ct_14_8,ct,NonSat,24504
chr14,1658892,1662773,gsat_14_1(GSATII),gsat,OtherSat,3881
chr14,1662773,1663585,ct_14_9,ct,NonSat,812
chr14,1663585,1665185,censat_14_6(ACRO_composite),censat,OtherSat,1600
chr14,1665185,1682156,ct_14_10,ct,NonSat,16971
chr14,1682156,1755893,censat_14_7(CER),censat,OtherSat,73737
chr14,1755893,1779757,ct_14_11,ct,NonSat,23864
chr14,1779757,1782280,gsat_14_2(GSATII),gsat,OtherSat,2523
chr14,1782280,1787439,ct_14_12,ct,NonSat,5159
chr14,1787439,1799664,bsat_14_3,bsat,βSat,12225
chr14,1799664,1969079,ct_14_13,ct,NonSat,169415
chr14,1969079,1981517,bsat_14_4,bsat,βSat,12438
chr14,1981517,2099537,ct_14_14,ct,NonSat,118020
chr14,2099537,2817811,rDNA_14_1,rDNA,rDNA,718274
chr14,2817811,2825763,censat_14_8(ACRO_composite),censat,OtherSat,7952
chr14,2825763,2860329,ct_14_15,ct,NonSat,34566
chr14,2860329,2869347,censat_14_9(rnd-1_family-0),censat,OtherSat,9018
chr14,2869347,2876512,gsat_14_3(GSATII/TAR),gsat,OtherSat,7165
chr14,2876512,2900972,ct_14_16,ct,NonSat,24460
chr14,2900972,2904824,censat_14_10(SATR),censat,OtherSat,3852
chr14,2904824,2907757,ct_14_17,ct,NonSat,2933
chr14,2907757,2909807,censat_14_11(SATR),censat,OtherSat,2050
chr14,2909807,2955856,ct_14_18,ct,NonSat,46049
chr14,2955856,2957090,hsat5_14_3(HSat5),hsat5,OtherSat,1234
chr14,2957090,2962147,censat_14_12(CER),censat,OtherSat,5057
chr14,2962147,3069165,ct_14_19,ct,NonSat,107018
chr14,3069165,3102244,hsat3_14_4(A4),hsat3,HSat3,33079
chr14,3102244,3271404,bsat_14_5(LSAU-BSAT_Composite),bsat,βSat,169160
chr14,3271404,3277915,hsat1_14_2(HSat1A),hsat1,HSat1,6511
chr14,3277915,3371795,"hsat3_14_5(B3,A1)",hsat3,HSat3,93880
chr14,3371795,3421271,ct_14_20,ct,NonSat,49476
chr14,3421271,3436747,bsat_14_6,bsat,βSat,15476
chr14,3436747,3448003,hsat3_14_6(A4),hsat3,HSat3,11256
chr14,3448003,3616871,ct_14_21,ct,NonSat,168868
chr14,3616871,3699683,hsat1_14_3(HSat1B),hsat1,HSat1,82812
chr14,3699683,3903531,hsat3_14_7(B3),hsat3,HSat3,203848
chr14,3903531,3943532,ct_14_22,ct,NonSat,40001
chr14,3943532,3946805,censat_14_13(CER),censat,OtherSat,3273
chr14,3946805,3948059,hsat5_14_4(HSat5),hsat5,OtherSat,1254
chr14,3948059,3959672,ct_14_23,ct,NonSat,11613
chr14,3959672,3961776,hsat5_14_5(HSat5),hsat5,OtherSat,2104
chr14,3961776,3981870,ct_14_24,ct,NonSat,20094
chr14,3981870,3983236,hsat5_14_6(HSat5),hsat5,OtherSat,1366
chr14,3983236,3993446,ct_14_25,ct,NonSat,10210
chr14,3993446,3996350,censat_14_15(SATR),censat,OtherSat,2904
chr14,3996350,4020781,ct_14_27,ct,NonSat,24431
chr14,4020781,4023620,gsat_14_4(GSATII/TAR),gsat,OtherSat,2839
chr14,4023620,4035909,censat_14_16(ACRO_composite),censat,OtherSat,12289
chr14,4035909,4086229,ct_14_28,ct,NonSat,50320
