Gene,Transcript,Chrom,Start,End,Strand,Offset,Is_ATAC_High,ATAC_Ave,TPM_Ave,TPM_1,TPM_2,TPM_3,TPM_Quantile
ENSG00000248333.9,ENST00000341832.11,chr1,1635225,1659004,-,8,True,7.236858,7.483018,9.256336,6.888136,6.304582,Q4
ENSG00000189339.12,ENST00000611123.1,chr1,1661479,1692728,-,67,True,30.96143,18.596893666666663,13.565747,19.353979,22.870955,Q4
ENSG00000008128.23,ENST00000404249.8,chr1,1702379,1724357,-,0,True,13.65906,5.581581666666666,5.008833,5.647392,6.08852,Q3
ENSG00000008130.15,ENST00000341991.7,chr1,1751232,1778790,-,1667,True,12.990804,17.718154,21.197064,16.678879,15.278519,Q4
ENSG00000078369.19,ENST00000703700.1,chr1,1785335,1892275,-,17,True,3.1597283,131.06846266666665,87.985595,142.457983,162.76181,Q5
ENSG00000169885.10,ENST00000378604.3,chr1,1915108,1917294,+,0,False,1.3954691,0.15506266666666665,0.0,0.384223,0.080965,Q1
ENSG00000178821.13,ENST00000310991.8,chr1,1917591,1919279,-,0,True,4.216381,0.8934860000000001,1.053482,0.992021,0.634955,Q2
ENSG00000142609.20,NoTrans,chr1,1921951,2003837,-,0,False,0.35431463,0.0,0.0,0.0,0.0,NoTrans
ENSG00000187730.9,NoTrans,chr1,2019329,2030758,+,0,False,0.7325558,0.0,0.0,0.0,0.0,NoTrans
ENSG00000067606.17,ENST00000378567.8,chr1,2050411,2185395,+,0,True,11.606323,9.004126333333334,8.330648,9.445729,9.236002,Q4
ENSG00000162585.17,ENST00000378546.9,chr1,2189548,2194772,-,17948,True,13.736383,29.696316,36.539299,24.833184,27.716465,Q5
ENSG00000157933.11,ENST00000378536.5,chr1,2228319,2310213,+,931,True,14.248178,11.845224666666667,8.81008,12.798416,13.927178,Q4
ENSG00000116151.14,ENST00000378531.8,chr1,2321253,2391554,-,153,True,13.730475,0.27720966666666663,0.457906,0.0,0.373723,Q2
ENSG00000157916.20,ENST00000443438.5,chr1,2393174,2402316,+,1399,False,1.9198138,53.83000166666667,41.857779,60.72847,58.903756,Q5
ENSG00000157911.11,ENST00000507596.5,chr1,2404838,2412540,-,1257,True,12.821627,5.886217666666667,6.840299,6.039532,4.778822,Q3
ENSG00000149527.18,ENST00000609981.5,chr1,2425980,2479804,+,0,False,1.0270535,7.940183,6.393826,8.961693,8.46503,Q4
ENSG00000157881.16,ENST00000378466.9,chr1,2508537,2526596,-,1,True,10.901475,8.369939333333333,7.023163,7.615404,10.471251,Q4
ENSG00000197921.6,ENST00000378453.4,chr1,2528745,2530263,-,0,False,1.5239675,0.013324666666666667,0.039974,0.0,0.0,Q1
ENSG00000157873.18,ENST00000355716.5,chr1,2556371,2563829,+,732,False,1.3558518,1.5969360000000001,2.639716,1.283395,0.867697,Q2
ENSG00000157870.17,ENST00000419916.8,chr1,2586777,2591468,+,286,True,6.5771027,6.5857313333333325,7.042878,6.50241,6.211906,Q3
ENSG00000142606.16,NoTrans,chr1,2590639,2633016,-,0,False,0.3839278,0.0,0.0,0.0,0.0,NoTrans
ENSG00000215912.13,ENST00000401095.9,chr1,2636986,2801693,-,0,False,0.67241186,0.012423000000000002,0.00612,0.018294,0.012855,Q1
ENSG00000169717.7,NoTrans,chr1,3021467,3022903,+,0,False,0.6240316,0.0,0.0,0.0,0.0,NoTrans
ENSG00000142611.17,NoTrans,chr1,3069168,3438621,+,0,False,0.59691405,0.0,0.0,0.0,0.0,NoTrans
ENSG00000130762.15,ENST00000378378.9,chr1,3454665,3481113,+,0,True,6.2227383,7.879403666666666,9.12637,6.729309,7.782532,Q4
ENSG00000162591.17,ENST00000697102.1,chr1,3487961,3531423,-,80085,True,14.620334,2.905597333333333,5.438286,1.953858,1.324648,Q3
ENSG00000158109.15,ENST00000378344.7,chr1,3625015,3630127,+,0,True,8.645068,59.57616866666666,45.789056,64.635432,68.304018,Q5
ENSG00000116213.16,ENST00000270708.12,chr1,3630770,3650103,-,2658,True,4.31992,8.644156333333333,8.625443,8.881349,8.425677,Q4
ENSG00000078900.15,ENST00000378290.4,chr1,3698058,3733091,+,45542,True,3.5024228,0.033924,0.0,0.101772,0.0,Q1
ENSG00000162592.10,NoTrans,chr1,3746460,3771645,+,0,True,4.176646,0.0,0.0,0.0,0.0,NoTrans
ENSG00000235169.11,ENST00000642557.4,chr1,3772749,3775956,+,0,True,7.0117536,1.8494593333333336,3.32211,0.793633,1.432635,Q2
ENSG00000130764.10,ENST00000378251.3,chr1,3778559,3796498,-,0,True,12.219814,22.991752666666667,21.151567,22.110712,25.712979,Q5
ENSG00000116198.14,ENST00000428079.6,chr1,3816149,3857233,-,163,True,32.358925,3.7174826666666667,1.057027,5.408946,4.686475,Q3
ENSG00000169598.17,ENST00000378209.8,chr1,3857476,3885429,+,209,True,34.337883,1.6437273333333333,0.4346,2.711138,1.785444,Q2
ENSG00000198912.12,ENST00000361605.4,chr1,3889133,3900272,-,21,True,17.789865,14.34552,14.708811,13.963647,14.364102,Q4
ENSG00000196581.11,NoTrans,chr1,4654609,4792534,+,0,False,0.56916225,0.0,0.0,0.0,0.0,NoTrans
ENSG00000131697.18,ENST00000378156.9,chr1,5862811,5992425,-,48,True,16.345198,2.2837253333333334,2.266711,2.156312,2.428153,Q3
ENSG00000069424.16,ENST00000666163.1,chr1,5992639,6101188,+,1712,True,16.220598,4.137951666666667,4.844315,3.403147,4.166393,Q3
ENSG00000116254.18,ENST00000377999.5,chr1,6105083,6131739,-,48582,False,0.7804838,0.031395,0.094185,0.0,0.0,Q1
ENSG00000285629.1,ENST00000484532.6,chr1,6159430,6197757,-,0,True,2.2506974,0.04187633333333333,0.0,0.0,0.125629,Q1
ENSG00000116251.11,ENST00000471204.5,chr1,6186692,6209244,-,145,False,0.8693069,326.2786393333334,381.279739,304.474954,293.081225,Q5
ENSG00000158286.13,ENST00000377939.5,chr1,6206119,6221299,+,644,True,11.546474,1.9852943333333333,2.573906,2.081817,1.30016,Q2
ENSG00000116237.16,ENST00000343813.10,chr1,6221193,6235964,-,8,True,8.416648,23.514429333333336,23.159673,25.205705,22.17791,Q5
ENSG00000173673.9,NoTrans,chr1,6244179,6245578,+,0,False,1.5294307,0.0,0.0,0.0,0.0,NoTrans
ENSG00000158292.7,ENST00000377893.3,chr1,6247353,6261098,-,0,True,7.2391515,10.485802333333332,11.457003,10.140868,9.859536,Q4
ENSG00000097021.21,ENST00000608083.5,chr1,6264269,6393361,-,406,True,18.81279,126.32180333333334,109.187658,130.55837,139.219382,Q5
ENSG00000069812.11,ENST00000377834.8,chr1,6415232,6419919,-,4751,True,4.488527,12.427935333333332,11.231424,15.1681,10.884282,Q4
ENSG00000187017.18,ENST00000645284.1,chr1,6424776,6460944,+,0,True,2.7482934,0.027557333333333333,0.082672,0.0,0.0,Q1
ENSG00000215788.11,ENST00000485036.5,chr1,6461151,6466175,-,0,False,0.78861743,7.613441999999999,6.750993,6.158682,9.930651,Q4
ENSG00000171680.23,ENST00000377728.8,chr1,6467122,6491667,-,28407,True,14.744103,12.970918666666668,10.938051,12.334091,15.640614,Q4
ENSG00000162408.11,ENST00000377705.6,chr1,6521347,6554513,-,0,True,4.797476,3.6745853333333334,3.872119,3.845237,3.3064,Q3
ENSG00000173662.21,NoTrans,chr1,6555307,6579755,+,0,True,3.601585,0.0,0.0,0.0,0.0,NoTrans
ENSG00000204859.13,ENST00000466813.1,chr1,6587256,6589160,+,7262,True,4.9908442,5.157776666666667,6.601877,4.824849,4.046604,Q3
ENSG00000162413.17,ENST00000377658.8,chr1,6590724,6602869,-,11738,True,15.21853,28.08211233333333,24.834032,27.218683,32.193622,Q5
ENSG00000116273.6,ENST00000377648.5,chr1,6613731,6624030,+,0,True,13.303315,8.313255333333334,7.938176,8.431507,8.570083,Q4
ENSG00000041988.16,ENST00000054650.9,chr1,6624868,6633562,+,0,True,7.7905283,5.857665333333333,6.448646,5.097453,6.026897,Q3
ENSG00000007923.17,ENST00000377577.10,chr1,6634170,6701816,-,108,True,6.41771,29.053967999999998,30.74365,30.722754,25.6955,Q5
ENSG00000171735.20,ENST00000473578.5,chr1,6785480,6872038,+,26,True,24.780857,23.825618333333335,30.381936,20.32378,20.771139,Q5
ENSG00000049245.13,ENST00000054666.11,chr1,7771296,7781432,+,0,True,4.2959795,73.33574466666666,64.284902,77.709592,78.01274,Q5
ENSG00000049246.15,ENST00000361923.2,chr1,7784703,7845177,+,412,True,10.935013,0.24244966666666667,0.227733,0.115566,0.38405,Q2
ENSG00000049247.14,NoTrans,chr1,7843083,7853512,-,0,False,0.39053285,0.0,0.0,0.0,0.0,NoTrans
ENSG00000049249.10,ENST00000377507.8,chr1,7915871,7940839,-,2326,False,1.8261169,0.11077100000000001,0.044736,0.162612,0.124965,Q1
ENSG00000116288.13,ENST00000493373.5,chr1,7954291,7985052,+,0,True,2.5854437,124.82676833333335,145.340789,120.670779,108.468737,Q5
ENSG00000116285.13,ENST00000377482.10,chr1,8011727,8026309,-,0,True,10.093209,148.54547266666668,125.663815,177.925963,142.04664,Q5
ENSG00000162426.16,ENST00000289877.8,chr1,8324330,8344167,+,6216,False,0.70014256,0.08422366666666666,0.103952,0.083061,0.065658,Q1
ENSG00000142599.20,ENST00000377464.5,chr1,8352406,8525939,-,322982,True,10.525344,3.3783433333333335,1.059408,3.388651,5.686971,Q3
ENSG00000074800.16,ENST00000234590.10,chr1,8861000,8878686,-,504,True,20.338356,2004.430610666667,2192.996751,2167.634914,1652.660167,Q5
ENSG00000131686.15,ENST00000377443.7,chr1,8945868,8975092,+,1,False,0.6649406,0.02642333333333333,0.07927,0.0,0.0,Q1
ENSG00000197241.4,NoTrans,chr1,9002973,9026423,-,0,False,0.6794746,0.0,0.0,0.0,0.0,NoTrans
ENSG00000142583.18,ENST00000377424.9,chr1,9035106,9069635,-,18843,False,0.4047648,0.359995,0.356327,0.307213,0.416445,Q2
ENSG00000180758.12,ENST00000377411.5,chr1,9100305,9129102,-,0,True,8.386603,7.092288333333333,5.158175,7.425597,8.693093,Q3
ENSG00000049239.13,ENST00000377403.7,chr1,9234774,9271337,+,0,True,13.6876545,8.794436666666668,7.648802,9.060925,9.673583,Q4
ENSG00000171621.14,ENST00000328089.11,chr1,9292894,9369532,+,0,True,5.759705,2.7296793333333333,2.579938,1.964801,3.644299,Q3
ENSG00000171612.7,ENST00000302692.7,chr1,9539465,9585173,+,0,True,11.210674,3.5849549999999994,3.987348,3.607016,3.160501,Q3
ENSG00000188807.13,ENST00000340305.9,chr1,9588922,9604954,+,11,True,8.566248,2.5898923333333332,3.216072,3.083037,1.470568,Q3
ENSG00000171608.18,ENST00000698712.1,chr1,9651769,9728906,+,21880,False,0.9864838,2.3668726666666666,1.340061,1.358764,4.401793,Q3
ENSG00000171603.18,ENST00000435891.5,chr1,9729028,9751581,-,72403,False,0.3466021,49.53297,43.878383,48.323378,56.397149,Q5
ENSG00000178585.15,ENST00000377263.6,chr1,9848276,9910269,-,67,True,24.731411,15.466746,19.140093,14.641516,12.618629,Q4
ENSG00000162441.12,ENST00000377213.1,chr1,9930253,9943407,-,0,True,10.707523,13.599302666666667,10.837423,13.310605,16.64988,Q4
ENSG00000173614.14,ENST00000377205.6,chr1,9943475,9985498,+,47,True,10.549217,4.355551,4.773385,4.672837,3.620431,Q3
ENSG00000162444.12,ENST00000294435.8,chr1,9997228,10016021,+,22,False,0.751284,0.036053,0.0,0.0,0.108159,Q1
ENSG00000130939.20,ENST00000343090.11,chr1,10032958,10181239,+,126,True,14.648223,8.068442,6.680298,10.163525,7.361503,Q4
ENSG00000054523.20,ENST00000377093.9,chr1,10210570,10308597,+,0,True,21.726727,4.242284000000001,2.911573,5.152222,4.663057,Q3
ENSG00000142657.21,ENST00000270776.13,chr1,10399064,10420511,+,472,True,23.466461,89.67951833333332,114.711191,92.27591,62.051454,Q5
ENSG00000175279.22,ENST00000309048.8,chr1,10430433,10442808,+,0,True,6.8117833,4.263367,6.625575,4.159329,2.005197,Q3
ENSG00000251503.8,ENST00000602787.6,chr1,10430435,10451411,+,333,True,6.8125806,0.1770516666666667,0.531155,0.0,0.0,Q2
ENSG00000241563.4,ENST00000377049.4,chr1,10450031,10451998,+,0,False,0.84942263,0.05711966666666667,0.171359,0.0,0.0,Q1
ENSG00000160049.12,ENST00000377038.8,chr1,10456522,10472529,-,0,True,6.7887325,12.963755,11.693932,12.845447,14.351886,Q4
ENSG00000142655.13,ENST00000356607.9,chr1,10474950,10630758,+,2662,True,5.314792,14.706954666666668,15.099038,13.565848,15.455978,Q4
ENSG00000130940.15,ENST00000344008.5,chr1,10647213,10796650,-,0,True,4.3684053,1.8061666666666667,1.339683,1.848181,2.230636,Q2
ENSG00000175262.15,ENST00000418570.6,chr1,10946473,10964201,-,17875,False,0.58337015,0.007370000000000001,0.0,0.02211,0.0,Q1
ENSG00000120948.19,ENST00000315091.7,chr1,11013716,11024183,+,1372,True,5.7628207,36.76616066666667,30.104928,42.05969,38.133864,Q5
ENSG00000009724.18,ENST00000700097.1,chr1,11027316,11047207,-,32,False,0.93224585,0.010924666666666666,0.0,0.0,0.032774,Q1
ENSG00000116649.10,ENST00000376957.7,chr1,11054589,11060018,-,2,True,16.643282,122.00792799999999,130.921761,118.418735,116.683288,Q5
ENSG00000171824.14,ENST00000376936.9,chr1,11066618,11099869,-,0,True,6.146419,40.49622766666667,37.886842,40.233914,43.367927,Q5
ENSG00000198793.14,ENST00000361445.9,chr1,11106535,11262551,-,5,True,17.127028,10.191937000000001,4.683057,12.464145,13.428609,Q4
ENSG00000171819.5,NoTrans,chr1,11189355,11195981,+,0,False,0.90716416,0.0,0.0,0.0,0.0,NoTrans
ENSG00000120942.14,ENST00000376810.6,chr1,11273198,11288434,+,0,True,8.77707,10.814123333333333,10.866617,10.62966,10.946093,Q4
ENSG00000204624.8,NoTrans,chr1,11479155,11537551,+,0,True,2.8060622,0.0,0.0,0.0,0.0,NoTrans
ENSG00000116661.11,ENST00000354287.5,chr1,11648387,11654429,-,1356,True,7.229851,16.036920333333335,15.674189,15.190549,17.246023,Q4
ENSG00000132879.14,ENST00000376762.8,chr1,11654910,11662291,+,535,True,6.4993315,10.344426333333333,9.556156,11.707169,9.769954,Q4
ENSG00000116663.11,ENST00000376753.9,chr1,11664200,11674354,+,0,True,4.8480105,7.886720333333333,7.143186,7.903135,8.61384,Q4
ENSG00000116670.16,ENST00000376692.9,chr1,11674480,11681148,-,10663,True,9.661314,31.854319333333336,33.393034,26.9945,35.175424,Q5
ENSG00000162490.7,ENST00000294485.6,chr1,11691710,11725857,+,0,False,1.1891414,0.045224999999999994,0.029066,0.071794,0.034815,Q1
ENSG00000177674.16,ENST00000314340.10,chr1,11736136,11750769,+,52,True,12.01221,48.59276833333333,55.50771,46.150163,44.120432,Q5
ENSG00000215910.8,ENST00000433342.6,chr1,11761787,11789584,+,0,False,0.48531422,0.0037246666666666665,0.0,0.0,0.011174,Q1
ENSG00000177000.13,ENST00000376590.9,chr1,11785723,11805964,-,491,True,18.140621,2.265576,0.0,3.197274,3.599454,Q3
ENSG00000011021.23,ENST00000346436.11,chr1,11806191,11843130,+,95,True,17.052273,3.1339186666666663,2.639672,3.680567,3.081517,Q3
ENSG00000175206.11,NoTrans,chr1,11845709,11848345,-,0,False,0.7146696,0.0,0.0,0.0,0.0,NoTrans
ENSG00000120937.9,NoTrans,chr1,11857464,11858945,-,0,False,0.9462111,0.0,0.0,0.0,0.0,NoTrans
ENSG00000116685.16,ENST00000376572.8,chr1,11919591,11926427,-,1,True,4.733869,19.676408,21.393397,20.107642,17.528185,Q4
ENSG00000083444.17,ENST00000196061.5,chr1,11934717,11975537,+,512,True,8.346859,96.41440966666669,92.002015,90.435482,106.805732,Q5
ENSG00000116688.18,ENST00000235329.10,chr1,11980444,12013508,+,263,True,23.04714,48.851505333333336,40.77344,54.717273,51.063803,Q5
ENSG00000116691.11,ENST00000235332.6,chr1,12019498,12032045,+,32,True,12.764746,11.022619,12.198351,8.914277,11.955229,Q4
ENSG00000120949.15,NoTrans,chr1,12063303,12144207,+,0,False,0.67978144,0.0,0.0,0.0,0.0,NoTrans
ENSG00000028137.19,NoTrans,chr1,12166991,12209228,+,0,False,1.2039748,0.0,0.0,0.0,0.0,NoTrans
ENSG00000048707.15,ENST00000645371.1,chr1,12382996,12509030,+,152966,False,0.3154061,5.276404333333333,4.780175,4.888254,6.160784,Q3
ENSG00000162496.9,ENST00000616661.5,chr1,12567910,12618210,-,0,True,20.520283,19.102298333333334,19.759377,20.969456,16.578062,Q4
ENSG00000204518.3,NoTrans,chr1,12644085,12667076,+,0,False,0.68439096,0.0,0.0,0.0,0.0,NoTrans
ENSG00000188984.12,NoTrans,chr1,12716110,12728760,+,0,False,0.770293,0.0,0.0,0.0,0.0,NoTrans
ENSG00000157330.10,ENST00000614859.5,chr1,12746200,12763699,+,0,False,0.7606531,0.083665,0.053996,0.096128,0.100871,Q1
ENSG00000116726.5,NoTrans,chr1,12773738,12777906,+,0,False,0.3525207,0.0,0.0,0.0,0.0,NoTrans
ENSG00000116721.9,NoTrans,chr1,12791397,12796628,+,0,False,0.38129437,0.0,0.0,0.0,0.0,NoTrans
ENSG00000239810.3,NoTrans,chr1,12824605,12831410,-,0,False,0.6015139,0.0,0.0,0.0,0.0,NoTrans
ENSG00000179172.10,NoTrans,chr1,12847377,12848720,-,0,False,0.15189353,0.0,0.0,0.0,0.0,NoTrans
ENSG00000120952.4,NoTrans,chr1,12857086,12861909,+,0,False,0.17395826,0.0,0.0,0.0,0.0,NoTrans
ENSG00000243073.4,NoTrans,chr1,12879212,12886201,-,0,False,0.18620561,0.0,0.0,0.0,0.0,NoTrans
ENSG00000187545.5,NoTrans,chr1,12892896,12898270,-,0,False,0.37560388,0.0,0.0,0.0,0.0,NoTrans
ENSG00000204510.6,NoTrans,chr1,12916610,12920751,+,0,False,0.28529522,0.0,0.0,0.0,0.0,NoTrans
ENSG00000232423.6,NoTrans,chr1,12938472,12947580,-,0,False,0.2713971,0.0,0.0,0.0,0.0,NoTrans
ENSG00000274764.6,NoTrans,chr1,13049476,13056575,-,0,False,0.24650773,0.0,0.0,0.0,0.0,NoTrans
ENSG00000277058.3,NoTrans,chr1,13060769,13062878,+,0,False,0.24126074,0.0,0.0,0.0,0.0,NoTrans
ENSG00000229571.7,NoTrans,chr1,13068677,13077884,+,0,False,0.28164876,0.0,0.0,0.0,0.0,NoTrans
ENSG00000275774.3,NoTrans,chr1,13115488,13116854,-,0,False,0.22861877,0.0,0.0,0.0,0.0,NoTrans
ENSG00000280267.6,NoTrans,chr1,13148905,13158116,-,0,False,0.23102552,0.0,0.0,0.0,0.0,NoTrans
ENSG00000179412.11,NoTrans,chr1,13163914,13165631,-,0,False,0.32858106,0.0,0.0,0.0,0.0,NoTrans
ENSG00000204505.5,NoTrans,chr1,13171848,13179459,+,0,False,0.42494452,0.0,0.0,0.0,0.0,NoTrans
ENSG00000279169.3,NoTrans,chr1,13196188,13201409,-,0,False,0.33361828,0.0,0.0,0.0,0.0,NoTrans
ENSG00000279804.3,NoTrans,chr1,13222695,13226154,-,0,False,0.47610354,0.0,0.0,0.0,0.0,NoTrans
ENSG00000270601.5,NoTrans,chr1,13254198,13263435,+,0,False,0.1561978,0.0,0.0,0.0,0.0,NoTrans
ENSG00000182330.11,NoTrans,chr1,13281304,13285137,-,0,False,0.16421674,0.0,0.0,0.0,0.0,NoTrans
ENSG00000237700.2,NoTrans,chr1,13303539,13308907,+,0,False,0.12971966,0.0,0.0,0.0,0.0,NoTrans
ENSG00000204501.7,NoTrans,chr1,13315581,13322598,+,0,False,0.23515747,0.0,0.0,0.0,0.0,NoTrans
ENSG00000204481.8,NoTrans,chr1,13341892,13347134,-,0,False,0.36206737,0.0,0.0,0.0,0.0,NoTrans
ENSG00000204480.9,NoTrans,chr1,13368431,13371947,-,0,False,0.7637904,0.0,0.0,0.0,0.0,NoTrans
ENSG00000204479.4,NoTrans,chr1,13389632,13392629,+,0,False,0.46432427,0.0,0.0,0.0,0.0,NoTrans
ENSG00000204478.11,NoTrans,chr1,13410450,13421328,+,0,False,0.49826768,0.0,0.0,0.0,0.0,NoTrans
ENSG00000162494.6,NoTrans,chr1,13474973,13514003,-,0,False,0.8081604,0.0,0.0,0.0,0.0,NoTrans
ENSG00000162493.17,NoTrans,chr1,13583465,13617957,+,0,True,2.569998,0.0,0.0,0.0,0.0,NoTrans
ENSG00000116731.23,ENST00000413440.5,chr1,13749403,13788079,+,49215,True,13.774523,2.5215826666666667,2.79091,3.043097,1.730741,Q3
ENSG00000189337.17,ENST00000400798.6,chr1,14929800,15068155,+,1037008,False,0.52459824,5.068228333333333,6.946299,4.566563,3.691823,Q3
ENSG00000171729.14,ENST00000400796.7,chr1,15153733,15220408,+,1201,True,14.935731,2.656697,2.841227,3.108192,2.020672,Q3
ENSG00000142621.21,ENST00000433640.7,chr1,15247280,15296762,+,10759,False,1.810237,0.037637,0.112911,0.0,0.0,Q1
ENSG00000142634.13,ENST00000375980.9,chr1,15409888,15430339,+,0,True,6.1971154,99.71604366666668,82.001628,101.297718,115.848785,Q5
ENSG00000162438.12,ENST00000375943.6,chr1,15438442,15449242,+,0,False,0.847786,0.18472933333333333,0.0,0.373626,0.180562,Q2
ENSG00000142615.8,NoTrans,chr1,15456728,15472091,+,0,False,0.9817349,0.0,0.0,0.0,0.0,NoTrans
ENSG00000215704.10,NoTrans,chr1,15465909,15491395,+,0,False,0.5460872,0.0,0.0,0.0,0.0,NoTrans
ENSG00000132906.18,ENST00000348549.9,chr1,15492270,15524347,-,2187,True,5.5758495,3.4634416666666668,3.030494,4.67823,2.681601,Q3
ENSG00000116138.13,ENST00000616884.4,chr1,15526813,15571731,+,0,True,16.535122,2.7325766666666667,3.31862,1.33165,3.54746,Q3
